Classifique e extraia dados dos itens abaixo. Sao produtos de lojas de vinho — podem ser vinhos, destilados, cervejas, acessorios, agua, etc.

Exemplos do nosso banco (para referencia de formato):
  produtor: "chateau levangile"  vinho: "pomerol"
  produtor: "campo viejo"  vinho: "reserva rioja"
  produtor: "penfolds"  vinho: "grange shiraz"
  produtor: "pizzato"  vinho: "fausto brut branco"
  produtor: "inniskillin"  vinho: "riesling icewine"
  produtor: "chateau montrose"  vinho: "montrose"
  produtor: "quinta do noval"  vinho: "noval"
  produtor: "gaja"  vinho: "gaia & rey chardonnay"
  produtor: "michele chiarlo"  vinho: "nivole moscato d'asti"
  produtor: "felton road"  vinho: "block 3 pinot noir"

TODOS os itens. Uma linha por item. Sem markdown. Sem explicacoes.

Formato:
1. X
2. S
3. W|Produtor|Vinho|Pais|Cor|Uva|Regiao|SubRegiao|Safra|ABV|Classificacao|Corpo|Harmonizacao|Docura
4. W|Produtor|Vinho|Pais|Cor|Uva|Regiao|SubRegiao|Safra|ABV|Classificacao|Corpo|Harmonizacao|Docura|=3

Campos:
- Produtor = vinicola/bodega/domaine/chateau, minusculo, sem acento. O produtor e quem FAZ o vinho, nao o nome do vinho.
  Ex: gaja (nao "gaia & rey"), michele chiarlo (nao "nivole"), felton road (nao "block 3"), castello di ama (nao "ama"), banfi (nao "fonte alla selva")
- Vinho = nome do vinho SEM o produtor, minusculo, sem acento.
  NUNCA deixe ?? se o nome e derivavel do input.
  Se produtor e vinho sao o mesmo nome, repita sem prefixo:
    "chateau montrose" → produtor: chateau montrose, vinho: montrose
    "quinta do noval" → produtor: quinta do noval, vinho: noval
    "dom perignon" → produtor: dom perignon, vinho: dom perignon
  Se o input so tem produtor+uva:
    "larentis malbec" → produtor: larentis, vinho: malbec
  Se o input tem produtor+linha+uva:
    "norton barrel select malbec" → produtor: norton, vinho: barrel select malbec
- Pais = 2 letras (fr, it, ar, us, au, br, ca, es, cl, pt, de, za, nz, at, hu, gr, hr, gb, jp, etc). ?? se nao sabe
- Cor: r=tinto w=branco p=rose s=espumante f=fortificado d=sobremesa
- Uva = uva(s) principal(is). Ex: malbec, cabernet sauvignon, chardonnay. Para blends listar as 2-3 principais: merlot, cabernet franc. ?? se nao sabe
- Regiao = regiao vinicola. Ex: bordeaux, mendoza, okanagan valley, serra gaucha. ?? se nao sabe
- SubRegiao = sub-regiao especifica. Ex: pauillac, saint-estephe, lujan de cuyo, golden mile bench. ?? se nao sabe
- Safra = ano (ex: 2019, 2020). NV se sem safra. ?? se nao sabe
- ABV = teor alcoolico estimado em %. Estimar pelo estilo se nao souber o valor exato (champagne ~12, bordeaux ~13.5, amarone ~15, porto ~20, riesling alemao ~10). ?? so se nao tem como estimar
- Classificacao = DOC, DOCG, AOC, DO, DOCa, DOQ, DOP, IGT, IGP, AVA, VDP, Grand Cru, 1er Grand Cru Classe, 2eme Grand Cru Classe, 3eme Grand Cru Classe, Cru Bourgeois, Grand Cru Classe, Reserva, Gran Reserva, Icewine, etc. ?? se nao tem
- Corpo = leve, medio, encorpado. ?? se nao sabe
- Harmonizacao = 1-3 pratos (ex: carne vermelha, queijo, frutos do mar). ?? se nao sabe
- Docura = seco, demi-sec, doce, brut, extra brut, brut nature. ?? se nao sabe
- X = NAO e vinho (cerveja, seltzer, cooler, sidra, agua, acessorio, caixa, gift basket, UI de site, desconto, roupa, comida)
- S = destilado (whisky, gin, rum, vodka, tequila, grappa, cachaca, brandy, calvados, pisco, soju, baijiu, shochu)
- W = vinho. Inclui: espumante, champagne, cava, prosecco, cremant, pet-nat, fortificado (sherry, porto, madeira, marsala, manzanilla, jerez fino, oloroso, amontillado), sobremesa, icewine, sake, yakju, huangjiu
- NAO invente dados. Se nao sabe, use ??.

FORTIFICADOS — ATENCAO:
Sherry, porto, madeira, marsala, manzanilla, fino, oloroso, amontillado, palo cortado = W (cor f)
Exemplos:
  "manzanilla en rama" → W|??|manzanilla en rama|es|f|palomino|andalucia|sanlucar de barrameda|...
  "porto tawny 10 years" → W|??|tawny 10 years|pt|f|??|douro|...|doce
  "marsala rubino" → W|pellegrino|rubino marsala|it|f|??|sicily|...|doce
NAO classificar fortificados como S. Calvados, brandy, grappa = S.

DUPLICATAS — IMPORTANTE:
=M significa que o item e o MESMO vinho do item M (duplicata).
Marque =M mesmo se o nome estiver escrito diferente.
Exemplos de duplicata:
  "2016 chateau montrose" e "chateau montrose 2016" → mesmo vinho, marcar =M
  "larentis malbec preco" e "larentis malbec" → mesmo vinho, "preco" e lixo do site
  "peller cabernet sauvignon" e "peller estates cabernet sauvignon" → mesmo produtor e vinho
Exemplos que NAO sao duplicata:
  "larentis malbec" e "larentis merlot" → uvas diferentes = vinhos diferentes
  "chateau montrose 2016" e "chateau montrose 2014" → safras diferentes = vinhos diferentes
ATENCAO: mesmo produtor com uvas diferentes NAO e duplicata.

1. antinori tignanello
2. antinori tignanello
3. antinori tignanello
4. antinori tignanello
5. antinori tignanello
6. antinori tignanello
195. antinori tignanello 2022
196. antinori tignanello 2022
197. antinori tignanello 2022 14 0
198. antinori tignanello 2022 igt
199. antinori tignanello 2022 igt toscana
200. antinori tignanello 2022 igt toscana
201. antinori tignanello 2022 igt toscana
202. antinori tignanello 2022 igt toscana
203. antinori tignanello 2022 magnum cassa legno
204. antinori tignanello 2022 magnum lt 15
205. antinori tignanello 2022 tuscany italy
206. antinori tignanello 2023
207. antinori tignanello 2023
208. antinori tignanello 2023 in bond ex vat duty landing summer 2026
209. antinori tignanello 2122
210. antinori tignanello igt
211. antinori tignanello igt
212. antinori tignanello igt
213. antinori tignanello igt
214. antinori tignanello igt
215. antinori tignanello igt 2021
216. antinori tignanello igt 2022
217. antinori tignanello igt 2022
218. antinori tignanello igt toscana
219. antinori tignanello magnum 2001
220. antinori tignanello marchese chianti classic riserva
221. antinori tignanello nebbiolo
222. antinori tignanello red wine tuscany igp italy 2022
223. antinori tignanello reserva 2020
224. antinori tignanello toscana
225. antinori tignanello toscana
226. antinori tignanello toscana
227. antinori tignanello toscana 2020
228. antinori tignanello toscana 2020 red dry 14 075
229. antinori tignanello toscana 2022
230. antinori tignanello toscana 2022
231. antinori tignanello toscana 2022
232. antinori tignanello toscana 2022
233. antinori tignanello toscana 2022
234. antinori tignanello toscana igt 2013
235. antinori tignanello toscana igt 2015
236. antinori tignanello toscana igt 2016
237. antinori tignanello toscana igt 2017 italy
238. antinori tignanello toscana igt 2018
239. antinori tignanello toscana igt 2019
240. antinori tignanello toscana igt 2019
241. antinori tignanello toscana igt 2020
242. antinori tignanello toscana igt 2020
243. antinori tignanello toscana igt 2021
244. antinori tignanello toscana igt 2021
245. antinori tignanello toscana igt 2022
246. antinori tignanello toscana igt 2022
247. antinori tignanello toscana igt red wine 2022
248. antinori tignanello toscana igt2022
249. antinori tignanello toscana rosso 2021
250. antinori tignanello toscana rosso 2022
251. antinori tignanello toscana rosso 2022 6 bottles
252. antinori tignanello toscana rosso igt
253. antinori tignanello toscana rosso single vineyard 2021
254. antinori tignanello toscana rosso single vineyard 2022 12 bottles
255. antinori tignanello toscana rosso tignanello single vineyard 2021
256. antinori tignanello toscana rosso tignanello single vineyard 2021
257. antinori tignanello toscane igt 2022 rood
258. antinori tignanello toscano igt
259. antinori tignanello tuscany igt italy 2020 inbond
260. antinori tignanelo
261. antinori tignanelo
262. antinori tormaresca bocca di lupo
263. antinori tormaresca bocca di lupo kaloro moscato di trani dolce 0 2023
264. antinori tormaresca bocca di lupo kaloro moscato di trani dolce 2021
265. antinori tormaresca calafuria salento igt 2023 vino rosato
266. antinori tormaresca calafuria salento igt 2024 vino rosato
267. antinori tormaresca calafuria salento rosato 2023
268. antinori tormaresca carrubo primitivo di manduria doc 2020 vino rosso
269. antinori tormaresca chardonnay
270. antinori tormaresca chardonnay 2024
271. antinori tormaresca chardonnay igt cl 75
272. antinori tormaresca chardonnay puglia igt 2020 vino bianco
273. antinori tormaresca locone castel del monte doc 2021 vino rosso
274. antinori tormaresca neprica cabernet sauvignon igt puglia rosso 2020 vino rosso
275. antinori tormaresca neprica primitivo igt puglia rosso 2023 vino rosso
276. antinori tormaresca neprica primitivo igt puglia rosso 2024 vino rosso
277. antinori tormaresca neprica primitivo mgm owc igp puglia rosso 2024 vino rosso
278. antinori tormaresca neprica rose igt puglia rosato 2023 vino rosato
279. antinori tormaresca neprica rose igt puglia rosato 2024 vino rosato
280. antinori tormaresca pietrabianca castel del monte tenuta bocca di lupo chardonnay 2024
281. antinori tormaresca pietrabianca castel del monte tenuta bocca di lupo chardonnay magnum 2022
282. antinori tormaresca tenuta bocca di lupo aglianico castel del monte bocca di lupo 2021
283. antinori toscana
284. antinori toscana bianco 2018
285. antinori toscana blanco
286. antinori toscana igt solaia 2020
287. antinori toscana igt tignanello 2022
288. antinori toscana igt tignanello 2022 magnum
289. antinori toscana le mortelle ampio 2016
290. antinori toscana le mortelle ampio 2016
291. antinori toscana le mortelle ampio 2016
292. antinori toscana le mortelle ampio 2016
293. antinori toscana rosso
294. antinori toscana rosso
295. antinori toscana rosso tignanello 2021
296. antinori toscana solaia 2016
297. antinori toscana solaia 2020
298. antinori toscana solaia 6x
299. antinori toscana tignanello
300. antinori toscana tignanello 2022
301. antinori toscana villa antinori 2018
302. antinori toscana villa antinori 2018
303. antinori toscana villa antinori 2018
304. antinori toscana villa antinori 2018
305. antinori toscana villa antinori bianco 2021
306. antinori toscana villa antinori bianco 2021
307. antinori toscana villa antinori bianco 2021
308. antinori toscana villa antinori bianco 2021
309. antinori umbria bianco muffato della sala 2009
310. antinori vermentino
311. antinori vermentino
312. antinori vermentino
313. antinori vermentino
314. antinori vermentino
315. antinori vermentino bolgheri doc 0
316. antinori vermentino bolgheri doc 2024 tenuta guado al tasso
317. antinori vermentino bolgheri guado al tasso
318. antinori vermentino bolgheri tenuta guado al tasso 2023
319. antinori vermentino bolgheri tenuta guado al tasso italy 2024
320. antinori vermentino bolgheri toscane igt 2023 wit
321. antinori vermentino bolgheri white dry 125 075
322. antinori vie cave
323. antinori villa antinori
324. antinori villa antinori
325. antinori villa antinori bianco
326. antinori villa antinori bianco
327. antinori villa antinori bianco 2022
328. antinori villa antinori bianco 2022
329. antinori villa antinori bianco 2022
330. antinori villa antinori bianco 2022
331. antinori villa antinori bianco igt 2022 half bottle
332. antinori villa antinori bianco igt 2022 half bottle
333. antinori villa antinori bianco igt 2022 half bottle
334. antinori villa antinori bianco igt 2023
335. antinori villa antinori bianco igt 2023
336. antinori villa antinori bianco igt 2023
337. antinori villa antinori bianco igt 2024
338. antinori villa antinori bianco igt 2024
339. antinori villa antinori bianco igt 2024
340. antinori villa antinori bianco toscana 2024
341. antinori villa antinori bianco toscana igt 2022 12 bottles
342. antinori villa antinori bianco toscana igt 2023
343. antinori villa antinori bianco toscana igt rare white blend
344. antinori villa antinori chianti classico riserva
345. antinori villa antinori chianti classico riserva 2021
346. antinori villa antinori chianti classico riserva 2022
347. antinori villa antinori chianti classico riserva 2022
348. antinori villa antinori chianti classico riserva docg
349. antinori villa antinori chianti classico riserva docg 2021
350. antinori villa antinori chianti classico riserva docg 2022
351. antinori villa antinori chianti classico riserva docg toscana italia
352. antinori villa antinori igt toscana
353. antinori villa antinori red igt 2020 wooden box magnum
354. antinori villa antinori red igt 2021 magnum
355. antinori villa antinori red igt 2021 magnum
356. antinori villa antinori red igt 2021 magnum
357. antinori villa antinori red igt 2022
358. antinori villa antinori red igt 2022
359. antinori villa antinori red igt 2022
360. antinori villa antinori red igt 2022 magnum
361. antinori villa antinori red igt 2022 magnum
362. antinori villa antinori red igt 2022 magnum
363. antinori villa antinori rosso
364. antinori villa antinori rosso 2020
365. antinori villa antinori rosso 2022
366. antinori villa antinori rosso 2022
367. antinori villa antinori rosso igt
368. antinori villa antinori rosso igt
369. antinori villa antinori rosso igt 2022 half bottle
370. antinori villa antinori rosso igt 2022 half bottle
371. antinori villa antinori rosso igt 2022 half bottle
372. antinori villa antinori rosso toscana igt
373. antinori villa antinori rosso toscana igt 2020
374. antinori villa antinori rosso toscana igt 2022 italy
375. antinori villa antinori toscana
376. antinori villa antinori toscana bianco 2024
377. antinori villa antinori toscana igt sangiovese
378. antinori villa antinori toscana red 2023
379. antinori villa antinori toscana rosso 2022
380. antinori villa antinori toscana rosso igt 2022
381. antinori villa antinori toscana rosso tuscany italy 2022
382. antinori villa antinori toscana rosso tuscany italy 2022
383. antinori villa antinori villa antinori owc igt toscana rosso 2016 vino rosso
384. antinori villa antinori villa antinori owc igt toscana rosso 2017 vino rosso
385. antinori villa bianco
386. antinori villa bianco
387. antinori villa bianco 075
388. antinori villa bianco toscana
389. antinori villa chianti classico reserva
390. antinori villa chianti classico reserve 2022
391. antinori villa chianti classico riserva
392. antinori villa chianti classico riserva 2020
393. antinori villa chianti classico riserva 2021
394. antinori villa del cigliano cigliano chianti classico gran selezione docg 2020 vino rosso
395. antinori villa red
396. antinori villa red igt 2021
397. antinori villa rosso
398. antinori villa rosso
399. antinori villa rosso
400. antinori villa toscana bianco
401. antinori villa toscana bianco 2023
402. antinori villa toscana bianco 2024
403. antinori villa toscana igt 2018
404. antinori villa toscana rosso 2018
405. antinori villa toscana rosso 2022
406. antinori villa toscana rosso 2022
407. antinori villa toscana rosso tuscany italy 2020
408. antinori villa toscana rosso tuscany italy 2020
409. antinori villa white
410. antinori vin santo chianti classico docg italy 2020
411. antinori vin santo chianti classico docg italy 2020
412. antinori vin santo del chianti classico
413. antinori vin santo del chianti classico
414. antinori vin santo del chianti classico 2011
415. antinori vin santo santa cristina vin santo valdichiana doc 2019 vino dolce
416. antinori vin santo santa cristina vin santo valdichiana doc 2020 vino dolce
417. antinori vin santo santa cristina vin santo valdichiana doc 2021 vino dolce
418. antinori vinsanto
419. antinori vinsanto
420. antinori vinsanto del chianti classico 2016
421. antinori vinsanto del chianti classico 2016
422. antinori vinsanto del chianti classico 2016
423. antinori vinsanto del chianti classico 2016
424. antinori vinsanto del chianti classico 2018
425. antinori vinsanto del chianti classico 2018
426. antinori vinsanto del chianti classico 2018
427. antinori vinsanto del chianti classico 2018
428. antinori xanto marchesi 1978
429. antinorio toscana tignanello 2021
430. antinorivilla antinori igt 2019
431. antioch club cap
432. antioch club tee
433. antioche barburi krmz kadeh sarap
434. antioche barburi krmz sarap
435. antioche beyaz sarap
436. antioche beyaz sarap kadeh
437. antioche blend cabernet sauvignon syrah
438. antioche classic sangiovese syrah
439. antioche misket yar tatl
440. antioche ozel seri cabernet sauvignon barburi
441. antioche passito
442. antioche reserv cabernet sauvignon merlot
443. antioche reserv krmz kadeh sarap
444. antioche reserv krmz sarap
445. antioche rose kadeh sarap
446. antioche rose sarap
447. antioche sauvignon blanc barburi
448. antioche summer vibes
449. antioche summer vibes roze
450. antiochia krmz deri cok renkli dokuma kumas portfoy
451. antiochia siyah deri cok renkli dokuma kumas portfoy
452. antiochia taba deri cok renkli dokuma kumas portfoy
453. antiogu
454. antiogu mandrolisa doc superiore cantina fradiles vitivinicola
455. antiogu mandrolisai doc superiore cantina fradiles
456. antiogu mandrolisai superiore fradiles
457. antioksidant urtete med myrt og verbena kologisk
458. antioq sin azucar tetrapak
459. antioqueno
460. antioqueno 24
461. antioqueno 24
462. antioqueno 24 1
463. antioqueno 24 sin azucar
464. antioqueno 24 sin azucar 175
465. antioqueno 24 tetrapack
466. antioqueno 29o
467. antioqueno 750cc
468. antioqueno aguardiente
469. antioqueno aguardiente
470. antioqueno aguardiente
471. antioqueno aguardiente
472. antioqueno aguardiente
473. antioqueno aguardiente
474. antioqueno aguardiente
475. antioqueno aguardiente
476. antioqueno aguardiente 48 proof
477. antioqueno aguardiente 58 proof
478. antioqueno aguardiente no sugar
479. antioqueno aguardiente rojo
480. antioqueno aguardiente sin azucar
481. antioqueno aguardiente sin azucar
482. antioqueno aguardiente sin azucar
483. antioqueno aguardiente sin azucar
484. antioqueno aguardiente sin azucar
485. antioqueno aguardiente sin azucar
486. antioqueno aguardiente sin azucar
487. antioqueno aguardiente sin azucar
488. antioqueno aguardiente sin azucar
489. antioqueno aguardiente sin azucar no sugar
490. antioqueno aguardiente sin azucar no sugar 58 proof
491. antioqueno aguardiente verde sin azucar
492. antioqueno aguardiente verde sin azucar
493. antioqueno aguardiente verde sin azucar 24
494. antioqueno amarillo real
495. antioqueno aquardiente
496. antioqueno aquardiente sin azucar green 24
497. antioqueno azul
498. antioqueno azul
499. antioqueno azul
500. antioqueno azul
501. antioqueno azul
502. antioqueno azul botella
503. antioqueno azul cuarto
504. antioqueno azul garrafa
505. antioqueno azul litro
506. antioqueno azul media
507. antioqueno centenario azul
508. antioqueno centenario rojo
509. antioqueno nuestra herencia azul
510. antioqueno nuestra herencia rojo
511. antioqueno nuestra herencia verde
512. antioqueno real
513. antioqueno real 1493
514. antioqueno real aguardiente
515. antioqueno real aguardiente
516. antioqueno real amarillo
517. antioqueno rojo
518. antioqueno rojo
519. antioqueno rojo
520. antioqueno rojo 100
521. antioqueno rojo botella
522. antioqueno rojo cuarto
523. antioqueno rojo garrafa
524. antioqueno rojo garrafa
525. antioqueno rojo litro
526. antioqueno rojo media
527. antioqueno sin auzucar
528. antioqueno sin azucar
529. antioqueno sin azucar
530. antioqueno sin azucar
531. antioqueno sin azucar
532. antioqueno sin azucar
533. antioqueno sin azucar
534. antioqueno sin azucar
535. antioqueno sin azucar
536. antioqueno sin azucar
537. antioqueno sin azucar
538. antioqueno sin azucar 29o
539. antioqueno sin azucar aguardiente
540. antioqueno sin azucar aguardiente
541. antioqueno sin azucar azul 100
542. antioqueno sin azucar no sugar
543. antioqueno sin azucar tetrapack
544. antioqueno sin azucar vidrio
545. antioqueno sin azucar x
546. antioqueno tradicional
547. antioqueno tradicional
548. antioqueno tradicional
549. antioqueno tradicional tetrapack
550. antioqueno verde
551. antioqueno verde
552. antioqueno verde
