id,nome,teor_col,abv_parsed,classificacao,corpo,docura,harmonizacao_col,harmonizacao_parsed,envelhecimento,temperatura
2331112,Talhão da Serra Reserva,13.0,13.5,,medio,seco,,carne vermelha,5-8 anos,14-16C
2331113,Talha-Mar Reserva Blend 2023,13.0,13.0,,medio,seco,,"peixe gordo, frango",3-5 anos,10-12C
2331115,Talha Wine,13.0,13.5,,medio,seco,,carne vermelha,3-5 anos,14-16C
2331098,Taylor New York Desserts Taylor Marsala,20.0,13.5,,medio,seco,queijos; sobremesas; frutas secas,carne vermelha,5-8 anos,14-16C
2331100,Taylor New York Desserts Taylor Dry Sherry,20.0,13.0,IGT,medio,seco,queijos; sobremesas; frutas secas,"massas, carne vermelha",3-5 anos,14-16C
2331157,Taleiga Tinto,13.5,12.0,Txakoli Rosado,leve,seco,carne vermelha; massas; queijo,"frutos do mar, peixe",beber ja,8-10C
2331159,TALEBIANO VULPES TINTO 2022,13.5,13.5,Reserva,medio,seco,carne vermelha; massas; queijo,carne vermelha,5-8 anos,14-16C
2331160,TALEBIANO CABALLUS TINTO 2022,13.5,12.5,,leve,seco,carne vermelha; massas; queijo,"frutos do mar, peixe",beber ja,8-10C
2331161,TALEBIANO ARIES TINTO 2022,13.5,13.5,,medio,seco,carne vermelha; massas; queijo,carne vermelha,3-5 anos,14-16C
2331162,Talayón Brut Chardonnay,12.0,14.0,Premium Primari,encorpado,seco,aperitivos; canapes; frutos do mar,"carne vermelha, caça",5-8 anos,16-18C
2331171,Такун Карменер Ресерва / Takun Carmenere Reserva,13.5,12.5,,leve,seco,carne vermelha; massas; queijo,frutos vermelhos,beber ja,8-10C
2331172,"Tako (Kisi light) '22, Château Khashmi",13.0,13.5,Primarius,medio,seco,,carne vermelha,5-8 anos,14-16C
2349044,Scapa 16 years,,13.0,PDO Santorini,medio,seco,,"peixe, mariscos",5-10 anos,10-12C
2331196,TakealotNOW brings the Constantia Wine Route to th,13.0,13.5,Reserve,medio,seco,,carne vermelha,5-8 anos,14-16C
2331216,Takara Umeshu (Plum wine) / 紀州みなべ南高梅梅酒,13.0,13.5,,medio,seco,,carne vermelha,3-5 anos,14-16C
2331221,Takara Plum Wine,13.0,12.0,Extra Brut,leve,extra brut,,"aperitivo, frutos do mar",beber ja,6-8C
2331222,TAKAR WHITE WINE DRY KANGUN ARMENIAN 2022,12.5,12.5,Dry,leve,seco,frutos do mar; aves; saladas,"frutos do mar, peixe",beber ja,8-10C
2331243,Takahiro K Waipara Pinot Noir 2023,13.5,13.5,,medio,seco,carne vermelha; massas; queijo,carne vermelha,3-5 anos,14-16C
2331259,Taka K Pearson Estate Pinot Noir 2022,13.5,12.0,Brut,leve,brut,carne vermelha; massas; queijo,"aperitivo, frutos do mar",beber ja,6-8C
2331261,TAK Merlot,13.5,13.5,,medio,seco,carne vermelha; massas; queijo,carne vermelha,3-5 anos,14-16C
2351034,Riesling Steinbügel bio 2018,,,Queijo,,,,,,
2331265,Tajska Panierka do Bananów w Cieście,13.0,12.5,Champagne AOC,medio,brut,,"aperitivo, frutos do mar",beber ja,6-8C
2331267,Tajska Mieszanka Przypraw do Kao Soi,13.0,12.5,,leve,seco,,frutos vermelhos,beber ja,8-10C
2331269,„Tajad“ Brut,12.0,12.5,,leve,seco,aperitivos; canapes; frutos do mar,frutos vermelhos,beber ja,8-10C
2331270,Taja Bodega Serie Monastrell Cabernet Blend,13.5,13.5,IGP,medio,seco,carne vermelha; massas; queijo,carne vermelha,3-5 anos,14-16C
2331271,TAJA - Bio - Wine,13.0,12.5,IGP,leve,seco,,"frutos do mar, peixe",beber ja,8-10C
2331275,Taitttinger Brut Reserve NV,12.0,12.5,DOC,leve,seco,aperitivos; canapes; frutos do mar,"frutos do mar, peixe",beber ja,8-10C
2331288,Tais Rosé Pinot Noir,12.5,12.5,DOC,leve,seco,petiscos; saladas; peixes,"frutos do mar, peixe",beber ja,8-10C
2331289,Tais Pinot Noir Rosé 2022,12.5,13.5,,medio,seco,petiscos; saladas; peixes,carne vermelha,3-5 anos,14-16C
2331290,T’Air d’Oc Syrah 2024 Domaine Gayda,13.5,12.5,DOC,leve,seco,carne vermelha; massas; queijo,"frutos do mar, peixe",beber ja,8-10C
2331293,Tainic Șarba DOC – sec,13.0,12.5,,leve,seco,,frutos vermelhos,beber ja,8-10C
2331314,"Tahbilk, Nagambie Lakes, Cabernet Sauvignon 2019",13.5,12.0,Spumante Brut,leve,brut,carne vermelha; massas; queijo,"aperitivo, frutos do mar",beber ja,6-8C
2331316,"Tagua Tagua Villa Di Conco,vinho Tinto Gran Reserva Carménère 2018",13.5,12.0,,leve,seco,carne vermelha; massas; queijo,frutos vermelhos,beber ja,8-10C
2331317,"Tagua Tagua, Seleccion Merlot 2023",13.5,12.0,Brut,leve,brut,carne vermelha; massas; queijo,"aperitivo, frutos do mar",beber ja,6-8C
2331342,Tafelstuck Dienheimer Riesling Spatleser 1959,12.5,,spatlese,medio,doce,frutos do mar; aves; saladas,sobremesa,10-20 anos,8-10C
2331344,Tact – Pannon Chardonnay,12.5,13.0,,medio,seco,frutos do mar; aves; saladas,"carne branca, queijo",5-10 anos,10-12C
2331347,Tacito Nugnes Red wine .,13.5,13.0,IGT,medio,seco,carne vermelha; massas; queijo,"massas, carne vermelha",3-5 anos,14-16C
2331370,Tabu Vin Rosé Demisec,12.5,12.5,,leve,demi-sec,petiscos; saladas; peixes,"aperitivo, saladas",beber ja,8-10C
2331371,Tabu Vin Rosé Demidulce,12.5,12.5,,leve,demi-sec,petiscos; saladas; peixes,"aperitivo, saladas",beber ja,8-10C
2331372,Tabor Har Merlot - Kosher Dry Israeli Red Wine,13.5,13.5,,medio,seco,carne vermelha; massas; queijo,carne vermelha,3-5 anos,14-16C
2331377,Table Wine Grape Sweat Macabeo 2025,13.0,12.5,,leve,seco,,"peixe, frutos do mar",beber ja,8-10C
2331379,Tabla Vino Leyenda,13.0,13.5,,medio,seco,,carnes,3-5 anos,14-16C
2331384,"Tabla SAPERAVI+MUSCAT (Pirosmani) red semi-dry wine – 0,",13.5,13.0,,medio,semi-seco,carne vermelha; massas; queijo,"carnes, queijos",3-5 anos,14-16C
2331419,TabaRosa Aglianico del Taburno rosato 2024 - Fontanavecchia,12.5,14.0,DO,encorpado,seco,petiscos; saladas; peixes,carnes vermelhas,5-10 anos,16-18C
2331420,Tabanco Amontilado Sherry,20.0,12.0,DO,leve,brut,queijos; sobremesas; frutas secas,"aperitivo, marisco",beber ja,6-8C
2331433,Tabali Transversal Ensamblaje Tinto 2020,13.5,13.0,DO,medio,seco,carne vermelha; massas; queijo,"peixe, aves",5-10 anos,10-12C
2331434,Tabali Tatie Brut DO Valle de Limarí SLIGHT LABEL DAMAGE,12.0,14.5,Gran Reserva,encorpado,seco,aperitivos; canapes; frutos do mar,"carne vermelha, caça",10-20 anos,16-18C
2331435,Tabali Talinay Caliza Chardonnay Valle de Limari 2023,12.5,14.0,Gran Reserva,encorpado,seco,frutos do mar; aves; saladas,"carne vermelha, massas",10-20 anos,16-18C
2331439,Tabalí Pedregoso Gran Reserva Syrah,13.5,14.5,Gran Reserva,encorpado,seco,carne vermelha; massas; queijo,"carne vermelha, caça",10-20 anos,16-18C
2331447,Tabali Pedregoso Gran Reserva Merlot 2023,13.5,13.5,,medio,seco,carne vermelha; massas; queijo,"carnes brancas, peixe gordo",5-10 anos,14-16C
2331451,Tabali Pedregoso Gran Reserva Cabernet Sauvignon,13.5,12.5,,leve,seco,carne vermelha; massas; queijo,"aperitivo, salada",beber ja,8-10C
2331461,Ta Ku Sauvignon Blanc Pink,12.5,13.0,,medio,seco,frutos do mar; aves; saladas,"carnes brancas, peixe",5-10 anos,14-16C
2331483,"Szőke Mátyás Mátrai Paskomi Chardonnay Barrique száraz fehér bor 0,75",12.5,12.0,SEKT,leve,brut,frutos do mar; aves; saladas,"aperitivo, marisco",beber ja,6-8C
2331490,Szkoła Wina L4 VIP – Château Margaux – degustacja pionowa (10.04),13.0,12.5,,leve,seco,,"peixe, aves",beber ja,10-12C
2331492,Szkoła Wina L3 – Syrah (26.02),13.5,14.0,,encorpado,seco,carne vermelha; massas; queijo,"carne vermelha, caça",5-10 anos,16-18C
2331524,Szia Magyarország,13.5,13.5,,medio,seco,carne vermelha,carnes,3-5 anos,14-16C
2331532,Szeszes italok és borok,13.5,12.0,,leve,doce,carne vermelha,"aperitivo, sobremesa",beber ja,10-12C
2351131,Risu do Isaac,,,,,seco,,,,
2351132,Risu do Isaac,,,,,seco,,,,
2331945,SYROCCO SYRAH DU MOROCCO 2022 - Wine Nexus,13.5,14.0,IGP,encorpado,seco,carne vermelha,"carne vermelha, cordeiro",5-10 anos,16-18C
2331946,SYROCCO SYRAH DU MOROCCO 2022,13.5,14.0,IGP,encorpado,seco,carne vermelha,"carne vermelha, cordeiro",5-10 anos,16-18C
2331948,Syrocco Syrah 2021,13.5,14.0,IGP,encorpado,seco,carne vermelha,"carne vermelha, cordeiro",5-10 anos,16-18C
2331974,Száraz Szamorodni 2015,13.5,,Tokaji Aszú,medio,doce,carne vermelha,"sobremesa, foie gras",20+ anos,10-12C
2331976,SZÁRAZ SZAMORODNI 2012,13.5,,Tokaji Aszú,medio,doce,carne vermelha,"sobremesa, foie gras",20+ anos,10-12C
2331978,száraz Szamorodni 2010,13.5,,Tokaji Aszú,medio,doce,carne vermelha,"sobremesa, foie gras",20+ anos,10-12C
2331980,Száraz Szamorodni – 2000,13.5,,Tokaji Aszú,medio,doce,carne vermelha,"sobremesa, foie gras",20+ anos,10-12C
2331984,Száraz Sárgamuskotály 2023,13.5,11.0,D.O.C,leve,doce,carne vermelha,"aperitivo, sobremesa",beber ja,8-10C
2331991,Száraz Furmint – 2023,12.5,12.5,,medio,seco,frutos do mar,"aperitivo, peixe",3-5 anos,10-12C
2332003,"Syrattitude, Domaine de Grangeneuve 2018",13.5,13.5,côtes du rhône,medio,seco,carne vermelha,"carnes vermelhas, caça",3-5 anos,14-16C
2332067,Syrah-Grenache Minimalist Sans Sulfites Ajoutés 2023,13.5,13.5,IGP,medio,seco,carne vermelha,"carnes vermelhas, massas",3-5 anos,14-16C
2332073,Syrah-Cabernet Rosé Domaine Duberny BIO,12.5,12.5,IGP,leve,seco,aperitivos,"aperitivo, saladas",beber ja,8-10C
2332074,SYRAH/CAB. SAUVIGNON 2022 V.SOLER,13.5,13.5,IGP,medio,seco,carne vermelha,"carnes vermelhas, massas",3-5 anos,14-16C
2332076,Syrah-Blume,13.5,13.5,QbA,medio,seco,carne vermelha,"carnes vermelhas, massas",3-5 anos,14-16C
2351189,Risic Blanc,,12.0,,leve,seco,,peixe,beber ja,8-10C
2332104,"Syrah VdP du Comté de Grignan 2024, Domaine Gigondan M. & Fils",13.5,13.5,VDP,medio,seco,carne vermelha,"carnes vermelhas, caça",3-5 anos,14-16C
2332107,Syrah Valine 2022,13.5,14.0,,encorpado,seco,carne vermelha,"carnes vermelhas, caça",10-20 anos,16-18C
2332108,Syrah vagy Shiraz?,13.5,14.0,,encorpado,seco,carne vermelha,"carnes vermelhas, churrasco",10-20 anos,16-18C
2332142,Syrah - Shiraz 2021,13.5,14.0,,encorpado,seco,carne vermelha,"carnes vermelhas, churrasco",10-20 anos,16-18C
2332143,Syrah - Shiraz 2017,13.5,13.5,IGP,medio,seco,carne vermelha,"carnes vermelhas, massas",3-5 anos,14-16C
2332184,"Syrah ""Plaisir"" 2020 Rood, Domaine Bruyere et David",13.5,14.0,DOC,encorpado,seco,carne vermelha,"carnes vermelhas, caça",10-20 anos,16-18C
2332185,Syrah ‘Petracastalda’ Riserva 2022 biologico – Cantina Petracastalda,13.5,14.0,PDO,encorpado,seco,carne vermelha,"carnes vermelhas, caça",10-20 anos,16-18C
2332224,Syrah Melchisedec trocken 2022,13.5,14.5,D.O,encorpado,seco,carne vermelha,"carnes vermelhas, caça",20+ anos,16-18C
2332226,Ιατρίδη Syrah Mavrotragano 2022,13.5,14.0,PDO,encorpado,seco,carne vermelha,"carnes vermelhas, caça",10-20 anos,16-18C
2332227,Syrah Mavrotragano 2019,13.5,14.0,PDO,encorpado,seco,carne vermelha,"carnes vermelhas, caça",10-20 anos,16-18C
2332229,Κτήμα Ιατρίδη Syrah – Mavrotragano 2019,13.5,14.0,PDO,encorpado,seco,carne vermelha,"carnes vermelhas, caça",10-20 anos,16-18C
2332273,Syrah (Martigny) - Les Serpentines,13.5,13.0,DOC,medio,doce,carne vermelha,"aperitivo, asiática",beber ja,10-12C
2332238,Terma Citrus,13.0,13.5,DOCa Rioja,medio,seco,carne vermelha; massas; queijo,"carnes vermelhas, tapas",5-10 anos,14-16C
2332444,Terlan Terlaner DOC 2022,13.0,13.5,,medio,seco,carne vermelha; massas; queijo,carne vermelha,3-5 anos,14-16C
2332261,Terlano – Pinot Nero – Alto Adige Pinot Nero DOC – 2024 – Vino Rosso,13.0,13.0,DOC,medio,seco,carne vermelha; massas; queijo,"carnes vermelhas leves, aves",5-10 anos,14-16C
2332331,"Syrah Lazio IGP Sorvigliano Donna Chiara Az. Agr. 13,5%vol",13.5,13.5,IGP,medio,seco,carne vermelha,"carnes vermelhas, massas",3-5 anos,14-16C
2332334,"Syrah La Traille – 0, – 2021",13.5,12.5,DOC,leve,seco,carne vermelha,"aperitivo, frutos do mar",beber ja,10-12C
2332335,Syrah “La Rosine”,13.5,13.5,IGT,medio,seco,carne vermelha,"carnes vermelhas, massas",3-5 anos,14-16C
2332336,Syrah la Rosine,13.5,13.5,IGT,medio,seco,carne vermelha,"carnes vermelhas, massas",3-5 anos,14-16C
2332338,SYRAH LA PREMIÈRE,13.5,13.5,IGP,medio,seco,carne vermelha,"carnes vermelhas, massas",3-5 anos,14-16C
2332404,Syrah Essentielle 2022 - - 14% Vol.,13.5,13.5,,medio,seco,carne vermelha,carne vermelha,3-5 anos,14-16C
2332405,Syrah Errazuriz 2000 elegant rött vin,13.5,14.0,,encorpado,seco,carne vermelha,"carne vermelha, cordeiro",10-20 anos,16-18C
2332408,"Syrah ""En-là""",13.5,13.5,,medio,seco,carne vermelha,"carne vermelha, caça",3-5 anos,14-16C
2332409,Syrah En Parallèle sans sulfites ajoutés 2022,13.5,13.5,,medio,seco,carne vermelha,carne vermelha,3-5 anos,14-16C
2332411,Syrah Edición Limitada 2020,13.5,13.8,aoc wallis,medio,seco,carne vermelha,"carne vermelha, grelhados",5-10 anos,14-16C
2332425,TERLANER ALTO ADIGE DOC 2025,13.0,13.5,,medio,seco,carne vermelha; massas; queijo,carne vermelha,3-5 anos,14-16C
2332426,Terlaner 2024,13.0,14.5,aoc cornas,encorpado,seco,carne vermelha; massas; queijo,carne vermelha,10-15 anos,16-18C
2332446,Terlan Selection Terlaner Nova Domus Cuvée Riserva Alto Adige Terlano DOC 6 X,13.0,14.0,,encorpado,seco,carne vermelha; massas; queijo,carne vermelha,5-10 anos,16-18C
2332474,Syrah Distenta III 2021,13.5,13.5,,medio,seco,carne vermelha,carne vermelha,3-5 anos,14-16C
2332477,Syrah D’Gigantes,13.5,14.0,,encorpado,seco,carne vermelha,carne vermelha,5-10 anos,16-18C
2332481,Syrah des Cistes – Moulin de Mont Lauzin,13.5,13.8,aoc wallis,encorpado,seco,carne vermelha,carne vermelha,5-10 anos,16-18C
2332483,Syrah Delia Nivolelli Riserva DOC 2016,13.5,14.0,,encorpado,seco,carne vermelha,carne vermelha,5-10 anos,16-18C
2332480,"Terlan Classico (PBianco, Chard, S.Blanc)",12.5,14.0,,encorpado,seco,peixes; frutos do mar; saladas,carne vermelha,5-10 anos,16-18C
2332482,Terlan Chardonnay vin alb,12.5,14.0,,encorpado,seco,peixes; frutos do mar; saladas,carne vermelha,5-10 anos,16-18C
2332484,Terlan Chardonnay Tradition,12.5,13.5,,medio,seco,peixes; frutos do mar; saladas,"frutos do mar, peixe",3-5 anos,14-16C
2332488,Terlan Chardonnay JS,12.5,14.0,,encorpado,seco,peixes; frutos do mar; saladas,carne vermelha,5-10 anos,16-18C
2332532,Terina de somon cu mărar,13.0,13.5,,medio,seco,carne vermelha; massas; queijo,carne vermelha,3-5 anos,14-16C
2332534,Terină de somon clasic,13.0,14.0,,encorpado,seco,carne vermelha; massas; queijo,carne vermelha,5-10 anos,16-18C
2332535,Terină de somon afumat,13.0,13.5,,medio,seco,carne vermelha; massas; queijo,carne vermelha,3-5 anos,14-16C
2332549,Térharmonizációs elektroszmog személyi védelem,13.0,13.5,,medio,seco,carne vermelha; massas; queijo,carne vermelha,3-5 anos,14-16C
2332551,Térharmonizációs elektroszmog jármű vagy helyiség védelem,13.0,14.5,,encorpado,seco,carne vermelha; massas; queijo,carne vermelha,10-15 anos,16-18C
2332537,Syrah - Clos du Crosex Grillé - Cuvée Excellentia,12.5,14.0,,encorpado,seco,aperitivos,carne vermelha,5-10 anos,16-18C
2332539,Syrah Classique Rosé 2024,12.5,13.5,aoc wallis,medio,seco,aperitivos,carne vermelha,3-5 anos,14-16C
2332540,Syrah Classique Rosé 2023,12.5,13.5,aoc wallis,medio,seco,aperitivos,carne vermelha,3-5 anos,14-16C
2332604,"Teresa Mota Capitão Figas Branco 2021,",13.0,13.5,,medio,seco,carne vermelha; massas; queijo,carne vermelha,3-5 anos,14-16C
2332605,TERESA MANARA Salice Salentino DOP Riserva Cantele,13.0,13.5,,medio,seco,carne vermelha; massas; queijo,carne vermelha,3-5 anos,14-16C
2332609,Teresa La Princesa,13.0,12.5,,leve,seco,carne vermelha; massas; queijo,"aperitivo, saladas",beber ja,8-10C
2332637,TERENZI BLEND N. 7,13.0,13.5,vin nature,medio,seco,carne vermelha; massas; queijo,carne vermelha,3-5 anos,14-16C
2332639,Terenzi 21 Morel Purosang Ris 2021,13.0,14.0,,encorpado,seco,carne vermelha; massas; queijo,carne vermelha,5-10 anos,16-18C
2332701,Terciopelo felpa Kippah 20cm- Blanco con Estrella de David,12.5,14.0,,encorpado,seco,peixes; frutos do mar; saladas,carne vermelha,5-10 anos,16-18C
2332718,Syrah 2019- Weingut Dominic Stern,13.5,14.0,,encorpado,seco,carne vermelha,carne vermelha,5-10 anos,16-18C
2332720,Syrah 2019 – PECNE TE,13.5,14.0,vin vechi de colectie,encorpado,seco,carne vermelha,carne vermelha,20+ anos,16-18C
2332722,Syrah 2019 - letzte Flaschen,13.5,14.0,,encorpado,seco,carne vermelha,carne vermelha,5-10 anos,16-18C
2332723,Syrah 2019 Classicus,13.5,13.5,,medio,seco,carne vermelha,carne vermelha,3-5 anos,14-16C
2332726,Syrah 2017 Decrenisse (rood),13.5,13.5,,medio,seco,carne vermelha,carne vermelha,3-5 anos,14-16C
2332727,SYRAH 2016/2017 IGT Cusumano Sicilien Italien,13.5,13.5,,medio,seco,carne vermelha,"carne vermelha, caça",3-5 anos,14-16C
